benchmark,tablesize,buffersize,l1 accesses,l1 misses,l1 miss rate,l2 accesses,l2 misses,l2 miss rate,stride hits,markov hits,IPC
crafty,64,4,19348012,429297,0.0222,3020153,31771,0.0105,154104,0,1.2601
crafty,64,8,19191890,408811,0.0213,2990711,31734,0.0106,307890,0,1.2611
crafty,64,16,18791766,377324,0.0201,2946701,31712,0.0108,703806,0,1.2629
crafty,64,32,18247255,331014,0.0181,2886883,31291,0.0108,1240129,0,1.2661
crafty,64,64,17852560,278115,0.0156,2821392,30964,0.011,1625408,0,1.2693
crafty,64,128,16842839,221014,0.0131,2753180,30187,0.011,2630122,0,1.2725
crafty,128,4,19352903,434799,0.0225,3019192,31752,0.0105,149479,0,1.2597
crafty,128,8,19197801,413184,0.0215,2989313,31746,0.0106,302468,0,1.2608
crafty,128,16,18794302,380271,0.0202,2946317,31707,0.0108,701290,0,1.2627
crafty,128,32,18258035,333475,0.0183,2887036,31256,0.0108,1229426,0,1.2659
crafty,128,64,17721895,280290,0.0158,2822235,30957,0.011,1756164,0,1.2691
crafty,128,128,16851595,222543,0.0132,2754333,30204,0.011,2621313,0,1.2724
crafty,256,4,19358639,444571,0.023,3018691,31770,0.0105,144264,0,1.2591
crafty,256,8,19179284,420858,0.0219,2988271,31747,0.0106,321086,0,1.2603
crafty,256,16,18780908,386834,0.0206,2945739,31672,0.0108,714170,0,1.2624
crafty,256,32,18365551,337916,0.0184,2886579,31207,0.0108,1120778,0,1.2657
crafty,256,64,17749237,284501,0.016,2823988,30890,0.0109,1729087,0,1.2688
crafty,256,128,17124957,228284,0.0133,2759710,30165,0.0109,2348307,0,1.2721
crafty,512,4,19363233,457616,0.0236,3018317,31755,0.0105,139986,0,1.2582
crafty,512,8,19081437,433662,0.0227,2991521,31718,0.0106,419615,0,1.2595
crafty,512,16,18779140,393985,0.021,2943121,31601,0.0107,715757,0,1.2619
crafty,512,32,18244333,344050,0.0189,2886460,31262,0.0108,1242124,0,1.2651
crafty,512,64,17725325,289303,0.0163,2824825,30769,0.0109,1752911,0,1.2685
crafty,512,128,17021583,235098,0.0138,2764574,29996,0.0109,2452906,0,1.2716
gcc,64,4,22718113,360555,0.0159,2419275,114140,0.0472,210484,0,1.2458
gcc,64,8,22627446,357046,0.0158,2410042,114148,0.0474,300659,0,1.246
gcc,64,16,22517773,352966,0.0157,2401592,114205,0.0476,409541,0,1.2462
gcc,64,32,22360999,345488,0.0155,2389130,114195,0.0478,565318,0,1.2467
gcc,64,64,22184292,334421,0.0151,2372316,114004,0.0481,740382,0,1.2476
gcc,64,128,21875716,319722,0.0146,2351970,113586,0.0483,1046658,0,1.2489
gcc,128,4,22728385,362006,0.0159,2417768,114152,0.0472,200243,0,1.2456
gcc,128,8,22639827,358637,0.0158,2409883,114144,0.0474,288305,0,1.2458
gcc,128,16,22533844,354231,0.0157,2401820,114189,0.0475,393574,0,1.2461
gcc,128,32,22392099,346686,0.0155,2389365,114187,0.0478,534335,0,1.2466
gcc,128,64,22198845,335678,0.0151,2372983,113960,0.048,726082,0,1.2475
gcc,128,128,21940273,321132,0.0146,2352879,113540,0.0483,982237,0,1.2488
gcc,256,4,22739132,363945,0.016,2415116,114153,0.0473,189556,0,1.2453
gcc,256,8,22658446,360841,0.0159,2409190,114161,0.0474,269885,0,1.2456
gcc,256,16,22548070,356125,0.0158,2401816,114171,0.0475,379535,0,1.2459
gcc,256,32,22401815,348591,0.0156,2390030,114131,0.0478,524723,0,1.2464
gcc,256,64,22221543,337465,0.0152,2373514,113931,0.048,703504,0,1.2473
gcc,256,128,21967931,323161,0.0147,2354494,113602,0.0482,954828,0,1.2486
gcc,512,4,22781943,367928,0.0161,2414023,114141,0.0473,146970,0,1.2449
gcc,512,8,22708908,365054,0.0161,2409581,114158,0.0474,219614,0,1.2451
gcc,512,16,22604335,360014,0.0159,2402413,114190,0.0475,323582,0,1.2455
gcc,512,32,22446619,352256,0.0157,2390836,114145,0.0477,480194,0,1.246
gcc,512,64,22254244,341729,0.0154,2376016,113872,0.0479,671226,0,1.2469
gcc,512,128,22023680,328794,0.0149,2359479,113571,0.0481,899748,0,1.248
mgrid,64,4,18245001,1586362,0.0869,1831153,583391,0.3186,110796,0,1.626
mgrid,64,8,18200649,1579035,0.0868,1824550,583444,0.3198,155148,0,1.6254
mgrid,64,16,18172921,1574006,0.0866,1820103,583555,0.3206,182876,0,1.6249
mgrid,64,32,18172921,1574006,0.0866,1820087,583780,0.3207,182876,0,1.6249
mgrid,64,64,18172921,1574006,0.0866,1820055,584257,0.321,182876,0,1.6249
mgrid,64,128,18172825,1573987,0.0866,1819972,588384,0.3233,182973,0,1.6253
mgrid,128,4,18247031,1586521,0.0869,1831156,583389,0.3186,108766,0,1.626
mgrid,128,8,18202974,1579238,0.0868,1824597,583441,0.3198,152824,0,1.6254
mgrid,128,16,18175142,1574190,0.0866,1820131,583550,0.3206,180657,0,1.6249
mgrid,128,32,18174868,1574144,0.0866,1820069,583768,0.3207,180934,0,1.6249
mgrid,128,64,18174358,1574059,0.0866,1819952,584200,0.321,181450,0,1.6249
mgrid,128,128,18173340,1573898,0.0866,1819726,588283,0.3233,182478,0,1.6252
mgrid,256,4,18251252,1586695,0.0869,1830863,583387,0.3186,104545,0,1.6259
mgrid,256,8,18207872,1579391,0.0867,1824357,583437,0.3198,147927,0,1.6253
mgrid,256,16,18182338,1574803,0.0866,1820268,583543,0.3206,173464,0,1.6248
mgrid,256,32,18181801,1574713,0.0866,1820162,583795,0.3207,174007,0,1.6248
mgrid,256,64,18180788,1574540,0.0866,1819957,584243,0.321,175032,0,1.6248
mgrid,256,128,18178752,1574218,0.0866,1819569,588130,0.3232,177088,0,1.625
mgrid,512,4,18259832,1587046,0.0869,1830274,583387,0.3187,95960,0,1.6257
mgrid,512,8,18218155,1579778,0.0867,1823921,583430,0.3199,137641,0,1.6249
mgrid,512,16,18197063,1576062,0.0866,1820557,583531,0.3205,158739,0,1.6246
mgrid,512,32,18196066,1575900,0.0866,1820379,583854,0.3207,159749,0,1.6246
mgrid,512,64,18193972,1575550,0.0866,1819997,584343,0.3211,161868,0,1.6246
mgrid,512,128,18189892,1574889,0.0866,1819268,587832,0.3231,165989,0,1.6248
twolf,64,4,17327743,684047,0.0395,1985305,5473,0.0028,366544,0,1.5145
twolf,64,8,17190517,660975,0.0384,1949120,5471,0.0028,503654,0,1.5156
twolf,64,16,17118087,651504,0.0381,1933453,5469,0.0028,575923,0,1.5163
twolf,64,32,16986901,644204,0.0379,1920373,5470,0.0028,706745,0,1.517
twolf,64,64,16911569,634371,0.0375,1897965,5476,0.0029,781420,0,1.5179
twolf,64,128,16584532,614777,0.0371,1856160,5474,0.0029,1107346,0,1.5195
twolf,128,4,17347653,685932,0.0395,1983441,5471,0.0028,346666,0,1.514
twolf,128,8,17236961,665426,0.0386,1950807,5472,0.0028,457257,0,1.515
twolf,128,16,17152212,657055,0.0383,1936948,5469,0.0028,541783,0,1.5156
twolf,128,32,17031048,650208,0.0382,1924222,5471,0.0028,662600,0,1.5162
twolf,128,64,16939321,638469,0.0377,1900348,5477,0.0029,753690,0,1.5173
twolf,128,128,16384214,617481,0.0377,1857320,5475,0.0029,1307615,0,1.5191
twolf,256,4,17387818,689973,0.0397,1980134,5471,0.0028,306566,0,1.513
twolf,256,8,17301135,674364,0.039,1955227,5471,0.0028,393133,0,1.5138
twolf,256,16,17196447,667312,0.0388,1943700,5470,0.0028,497600,0,1.5144
twolf,256,32,17119941,661002,0.0386,1930986,5472,0.0028,573825,0,1.5149
twolf,256,64,17021410,648101,0.0381,1905924,5474,0.0029,671693,0,1.5161
twolf,256,128,16650069,622504,0.0374,1859637,5478,0.0029,1041881,0,1.5184
twolf,512,4,17464614,699321,0.04,1980003,5471,0.0028,229910,0,1.5113
twolf,512,8,17397937,688893,0.0396,1963346,5471,0.0028,296470,0,1.5119
twolf,512,16,17338380,683491,0.0394,1954115,5473,0.0028,355818,0,1.5124
twolf,512,32,17249497,674907,0.0391,1939042,5474,0.0028,444435,0,1.5132
twolf,512,64,17098193,659050,0.0385,1910772,5474,0.0029,595101,0,1.5145
twolf,512,128,16832061,630942,0.0375,1862777,5473,0.0029,860093,0,1.5171
vortex,64,4,22185283,410513,0.0185,2828030,97930,0.0346,54640,0,1.4118
vortex,64,8,22021519,407074,0.0185,2822366,97805,0.0347,218340,0,1.4122
vortex,64,16,21828119,400814,0.0184,2812844,97877,0.0348,411671,0,1.4126
vortex,64,32,21625826,391344,0.0181,2798535,97667,0.0349,613938,0,1.4137
vortex,64,64,20932330,381284,0.0182,2779345,95415,0.0343,1307140,0,1.4155
vortex,64,128,20718578,366154,0.0177,2758296,93200,0.0338,1521622,0,1.4177
vortex,128,4,22119492,412455,0.0186,2828891,97886,0.0346,120538,0,1.4116
vortex,128,8,22016614,408945,0.0186,2823368,97802,0.0346,223331,0,1.412
vortex,128,16,21914310,403052,0.0184,2814491,97967,0.0348,325575,0,1.4123
vortex,128,32,21164918,392405,0.0185,2799573,97588,0.0349,1074904,0,1.4136
vortex,128,64,20931448,380891,0.0182,2779030,95372,0.0343,1308150,0,1.4154
vortex,128,128,20841725,368783,0.0177,2761846,93250,0.0338,1398610,0,1.4175
vortex,256,4,22131339,416288,0.0188,2831290,97903,0.0346,108841,0,1.4113
vortex,256,8,21959801,412424,0.0188,2825564,97879,0.0346,280302,0,1.4116
vortex,256,16,21815245,404474,0.0185,2814233,97592,0.0347,424676,0,1.4124
vortex,256,32,21586408,396090,0.0183,2802035,97116,0.0347,653345,0,1.4133
vortex,256,64,21002041,383849,0.0183,2782415,94737,0.034,1238178,0,1.4155
vortex,256,128,21384793,376855,0.0176,2771673,92935,0.0335,854342,0,1.4168
vortex,512,4,22145317,420735,0.019,2834520,97980,0.0346,95107,0,1.4109
vortex,512,8,21961878,415272,0.0189,2826997,97961,0.0347,278272,0,1.4112
vortex,512,16,21826192,406324,0.0186,2814629,97261,0.0346,413818,0,1.4123
vortex,512,32,21534576,397292,0.0184,2801137,96625,0.0345,705116,0,1.4133
vortex,512,64,21503881,387323,0.018,2786228,94517,0.0339,735606,0,1.4153
vortex,512,128,21480170,381800,0.0178,2778500,93209,0.0335,759347,0,1.4164